iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
7,5551.76,0.103676,1872.57,1,1,9.07802,3821.27,420.937
8,5919.79,0.046234,1848.01,1,1,2372.2,3330.69,1.40405
9,6633.39,1.19807,1966.81,1,1,656.538,3218.26,4.90187
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6809.66,0.628365,1885.45,0,1,2129.47,2641.21,1.24031
1,5270.15,0.809931,1534.93,1,1,1382.64,2431.88,1.75887
2,7842.43,0.644153,1855.32,1,1,2194.01,1446.58,0.659333
3,5519.65,0.13686,1566.68,1,1,742.413,2323.4,3.12952
4,5912.11,0.044749,1748.07,1,1,2402.7,2839.64,1.18185
5,7134.71,1.70243,1866.69,1,1,3310.03,2219.38,0.670502
6,3812.74,14.1409,922.618,1,1,1615.17,881.198,0.545577
7,5543.86,0.031691,1851.02,1,1,11.2286,3724.36,331.685
8,5898.59,4.1932,1848.12,1,1,2369.93,3365.48,1.42008
9,6624.97,0.037655,1967.99,1,1,649.426,3221.64,4.96075
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6779.03,0.074535,1843.64,0,1,2110.37,2455.93,1.16374
1,5201.48,0.13559,1533.26,1,1,1360.05,2470.57,1.81653
2,7834.31,0.484935,1863.94,1,1,2176.76,1496.03,0.687274
3,5531.92,0.481183,1573.4,1,1,734.44,2340.58,3.18689
4,5905.52,0.068959,1749.93,1,1,2416.32,2848.1,1.17869
5,7136.04,3.1947,1870.32,1,1,3309.04,2233.06,0.674837
6,3781.08,0.032868,921.699,1,1,1600.02,838.316,0.523942
7,5553.07,2.88138,1849.44,1,1,12.2286,3718.38,304.072
8,5904.83,7.80014,1844.19,1,1,2377.85,3359.43,1.4128
9,6641.89,2.90003,1969.93,1,1,657.509,3238.87,4.92597
