time first event (ms),event,parameter
25845.9,98,3
25845.9,8,3
25845.9,99,3
26861.6,96,49
26861.6,97,49
26861.7,9,3
26861.7,6,0
26862.3,96,50
26862.3,97,50
26862.4,9,3
26862.5,98,4
26862.5,8,4
26862.7,99,4
26862.7,7,0
26862.7,98,4
26862.7,8,4
26862.9,99,4
27871.1,96,51
27871.1,97,51
27871.2,9,4
27872.6,96,52
27872.6,97,52
27872.8,9,4
27872.8,6,0
27872.9,4,5
27873,5,5
27873,7,0
27873,3,5
27873,2,6
27873,6,0
27873.1,98,0
27873.1,8,0
27873.2,99,0
27873.2,7,0
27873.2,98,0
27873.2,8,0
27873.3,99,0
28876.4,96,53
28876.4,97,53
28876.5,9,0
28876.6,96,54
28876.6,97,54
28876.7,9,0
28876.7,6,0
28876.7,98,1
28876.8,8,1
28876.8,99,1
28876.8,7,0
28876.8,98,1
28876.8,8,1
28876.9,99,1
29892.4,96,55
29892.5,97,55
29892.5,9,1
29892.5,6,0
29892.9,96,56
29892.9,97,56
29892.9,9,1
29893,98,2
29893,8,2
29893.1,99,2
29893.1,7,0
29893.1,98,2
29893.2,8,2
29894.4,99,2
30920.9,96,57
30920.9,97,57
30921,9,2
30921,6,0
30922.2,96,58
30922.2,97,58
30922.3,9,2
30922.5,98,3
30922.5,8,3
30922.5,99,3
30922.5,7,0
30922.6,98,3
30922.6,8,3
30922.6,99,3
31927.5,96,59
31927.5,97,59
31927.6,9,3
31929.9,96,60
31929.9,97,60
31930,9,3
31930.1,6,0
31930.1,98,4
31930.3,8,4
31942.5,99,4
31942.5,7,0
31942.5,98,4
31942.5,8,4
31942.6,99,4
32961.4,96,61
32961.4,97,61
32961.5,9,4
32962.3,96,62
32962.3,97,62
32962.4,9,4
32963.2,6,0
32963.4,4,6
32963.6,5,6
32963.7,7,0
32963.7,3,6
32963.7,2,7
32963.7,6,0
32963.7,98,0
32963.7,8,0
32963.8,99,0
32963.8,7,0
32963.8,98,0
32963.8,8,0
32963.9,99,0
33982.7,96,63
33982.7,97,63
33982.8,9,0
33984.2,96,64
33984.2,97,64
33984.3,9,0
33984.4,6,0
33984.4,98,1
33984.4,8,1
33985.1,99,1
33985.1,7,0
33985.1,98,1
33985.1,8,1
33985.3,99,1
34988.7,96,65
34988.7,97,65
34988.7,9,1
34989.4,96,66
34989.4,97,66
34989.9,9,1
34990.3,6,0
34991.1,98,2
34991.1,8,2
35000.9,99,2
35001,7,0
35001.2,98,2
35001.2,8,2
35006.7,99,2
36009.8,96,67
36009.9,97,67
36009.9,9,2
36009.9,6,0
36010.1,96,68
36010.1,97,68
36010.2,9,2
36010.2,98,3
36010.3,8,3
36010.3,99,3
36010.3,7,0
36010.3,98,3
36010.3,8,3
36010.3,99,3
37030.8,96,69
37030.8,97,69
37030.8,9,3
37031.3,96,70
37031.3,97,70
37031.4,9,3
37031.4,6,0
37031.5,98,4
37031.5,8,4
37031.7,99,4
37031.7,7,0
37031.7,98,4
37031.7,8,4
37031.9,99,4
38040.1,96,71
38040.1,97,71
38040.2,9,4
38040.3,6,0
38044.2,96,72
38044.3,97,72
38045,9,4
38045.6,4,7
38052.7,5,7
38052.7,7,0
38052.7,3,7
38052.7,2,8
38052.7,6,0
38052.8,98,0
38052.8,8,0
38052.8,99,0
38052.8,7,0
38054.4,98,0
38054.4,8,0
38054.5,99,0
39076,96,73
39076.1,97,73
39076.1,9,0
39082.5,96,74
39082.5,97,74
39082.5,9,0
39082.6,6,0
39082.6,98,1
39082.6,8,1
39082.7,99,1
39082.7,7,0
39082.7,98,1
39082.7,8,1
39082.7,99,1
40087.9,96,75
40087.9,97,75
40088,9,1
40090.7,96,76
40090.7,97,76
40090.8,9,1
40090.9,6,0
40091.9,98,2
40091.9,8,2
40092,99,2
40092,7,0
40092,98,2
40092,8,2
40092.1,99,2
41095.4,96,77
41095.4,97,77
41095.5,9,2
41095.5,6,0
41096.3,96,78
41096.3,97,78
41096.4,9,2
41096.5,98,3
41096.5,8,3
41096.6,99,3
41096.6,7,0
41096.6,98,3
41096.6,8,3
41096.6,99,3
42104.1,96,79
42104.1,97,79
42104.2,9,3
42107.1,96,80
42107.1,97,80
42107.2,9,3
42107.2,6,0
42107.3,98,4
42107.3,8,4
42108.3,99,4
42108.3,7,0
42108.4,98,4
42108.4,8,4
42108.5,99,4
43115.8,96,81
43115.8,97,81
43115.9,9,4
43115.9,6,0
43116.4,96,82
43116.4,97,82
43116.5,9,4
43117,4,8
43117.3,5,8
43117.3,7,0
43117.3,3,8
43117.3,2,9
43117.3,6,0
43117.4,98,0
43117.4,8,0
43117.7,99,0
43117.7,7,0
43117.7,98,0
43117.7,8,0
43117.9,99,0
44127.4,96,83
44127.4,97,83
44127.4,9,0
44128.7,96,84
44128.7,97,84
44128.8,9,0
44128.8,6,0
44128.8,98,1
44128.9,8,1
44128.9,99,1
44128.9,7,0
44128.9,98,1
44128.9,8,1
44129,99,1
45135,96,85
