rank,start_time,end_time,region,parameter_open,parameter_close
0,9578.092111,9578.098202,ZMQ recv state data,15,15
0,8563.347179,9578.152552,State propagation,1,1
0,9580.701856,9580.70918,ZMQ recv state data,16,16
0,8563.24723,9580.760445,State propagation,1,1
0,9581.001533,9583.159963,ZMQ send state data,2,2
0,9580.796029,9583.170446,Runner idle,0,0
0,9586.823617,9588.047845,ZMQ send state data,2,2
0,10589.819713,10589.826946,ZMQ recv state data,17,17
0,9586.837825,10589.869181,State propagation,2,2
0,10590.306298,10590.324574,ZMQ recv state data,18,18
0,9581.00937,10590.366052,State propagation,2,2
0,10590.416968,10593.221266,ZMQ send state data,3,3
0,10589.885904,10593.230196,Runner idle,0,0
0,10593.336515,10593.511851,ZMQ send state data,3,3
0,11596.804203,11596.81353,ZMQ recv state data,19,19
0,10593.348254,11596.919782,State propagation,3,3
0,11597.602934,11597.611561,ZMQ recv state data,20,20
0,10590.42376,11599.433015,State propagation,3,3
0,11602.451769,11602.508488,ZMQ send state data,4,4
0,11602.398688,11602.513077,Runner idle,0,0
0,11602.539689,11602.569421,ZMQ send state data,4,4
0,12606.500723,12606.508139,ZMQ recv state data,21,21
0,11602.544157,12606.560804,State propagation,4,4
0,12607.239966,12607.248713,ZMQ recv state data,22,22
0,11602.467334,12607.473455,State propagation,4,4
0,12607.885823,12614.61678,Filter Update,2,2
0,12607.608831,12614.627429,Runner idle,0,0
0,7561.45825,12614.628556,Iteration,2,2
0,12614.72082,12615.64103,ZMQ send state data,0,0
0,12614.637766,12615.649358,Runner idle,0,0
0,12615.923284,12623.508321,ZMQ send state data,0,0
0,13639.083869,13639.091425,ZMQ recv state data,23,23
0,12616.16263,13642.332852,State propagation,0,0
0,13645.901718,13645.910264,ZMQ recv state data,24,24
0,12614.733527,13646.599152,State propagation,0,0
0,13648.562241,13655.787366,ZMQ send state data,1,1
0,13644.654083,13655.795865,Runner idle,0,0
0,13656.250071,13667.167239,ZMQ send state data,1,1
0,14671.258103,14671.268623,ZMQ recv state data,25,25
0,13656.262502,14671.323631,State propagation,1,1
0,14672.7728,14672.779984,ZMQ recv state data,26,26
0,13648.575871,14672.815757,State propagation,1,1
0,14672.855946,14672.884572,ZMQ send state data,2,2
0,14672.831733,14672.886869,Runner idle,0,0
0,14672.898842,14672.915784,ZMQ send state data,2,2
0,15675.149065,15675.160413,ZMQ recv state data,27,27
0,14672.901611,15675.223475,State propagation,2,2
0,15675.757666,15675.767899,ZMQ recv state data,28,28
0,14672.861678,15675.839614,State propagation,2,2
0,15676.018641,15676.076552,ZMQ send state data,3,3
0,15675.247866,15676.081701,Runner idle,0,0
0,15676.105891,15676.142728,ZMQ send state data,3,3
0,16679.395985,16679.402939,ZMQ recv state data,29,29
0,15676.110437,16679.573321,State propagation,3,3
0,16682.411743,16682.419165,ZMQ recv state data,30,30
0,15676.030779,16682.814924,State propagation,3,3
0,16682.946489,16683.032698,ZMQ send state data,4,4
0,16679.622803,16683.035897,Runner idle,0,0
0,16683.456455,16683.857111,ZMQ send state data,4,4
0,17686.700489,17686.708872,ZMQ recv state data,31,31
0,16683.464478,17686.8846,State propagation,4,4
0,17688.842009,17688.850508,ZMQ recv state data,32,32
0,16682.954439,17689.121318,State propagation,4,4
0,17689.472492,17691.153571,Filter Update,3,3
0,17686.935248,17691.16508,Runner idle,0,0
0,12614.637035,17691.165965,Iteration,3,3
0,17692.099342,17693.040193,ZMQ send state data,0,0
0,17691.173983,17693.048009,Runner idle,0,0
0,17693.54387,17693.685379,ZMQ send state data,0,0
0,18696.23122,18696.246232,ZMQ recv state data,33,33
0,17693.555861,18696.318004,State propagation,0,0
0,18697.928749,18697.946787,ZMQ recv state data,34,34
0,17692.115904,18698.062669,State propagation,0,0
0,18698.172413,18698.24302,ZMQ send state data,1,1
0,18696.347752,18698.248014,Runner idle,0,0
0,18698.283673,18698.371303,ZMQ send state data,1,1
0,19705.858333,19705.871945,ZMQ recv state data,35,35
0,18698.288278,19706.058742,State propagation,1,1
0,19706.925808,19706.939033,ZMQ recv state data,36,36
0,18698.183433,19707.416928,State propagation,1,1
0,19710.097093,19710.301414,ZMQ send state data,2,2
0,19709.984029,19710.308606,Runner idle,0,0
0,19717.28209,19717.810776,ZMQ send state data,2,2
0,20719.776305,20719.787665,ZMQ recv state data,37,37
0,19717.295969,20719.855487,State propagation,2,2
0,20724.419497,20724.429656,ZMQ recv state data,38,38
0,19710.111721,20724.680784,State propagation,2,2
0,20725.139725,20726.357625,ZMQ send state data,3,3
0,20724.810386,20726.369058,Runner idle,0,0
0,20726.428349,20726.488063,ZMQ send state data,3,3
0,21728.146435,21728.154941,ZMQ recv state data,39,39
0,20726.43753,21728.206397,State propagation,3,3
0,21730.895999,21730.906754,ZMQ recv state data,40,40
0,20725.151981,21730.967802,State propagation,3,3
0,21731.051217,21733.487633,ZMQ send state data,4,4
0,21730.99997,21733.495888,Runner idle,0,0
0,21733.52694,21733.639377,ZMQ send state data,4,4
0,22741.851186,22741.862038,ZMQ recv state data,41,41
0,21733.533037,22741.928059,State propagation,4,4
0,22743.884508,22743.895671,ZMQ recv state data,42,42
