iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
24,0,8,2,1,949.495,0.552919,950.048
25,0,9,0,1,272.413,1592.1,1864.51
26,0,9,1,1,1860.72,0.833357,1861.55
27,0,9,2,1,1605.59,2.54394,1608.14
28,0,10,0,1,50.2398,9.38464,59.6245
29,0,10,1,1,1927.65,3.26497,1930.92
30,0,10,2,1,1623.77,2.40155,1626.17
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.09,0,1586.09
1,0,1,0,1,677.993,6.08594,684.079
2,0,1,1,1,1934.14,2.46502,1936.6
3,0,1,2,1,1788.66,6.29813,1794.96
4,0,2,0,1,1306.38,2.543,1308.92
5,0,2,1,1,853.512,2.34165,855.854
6,0,2,2,1,871.164,1.70488,872.868
7,0,3,0,1,59.0434,577.315,636.359
8,0,3,1,1,2166.07,2.80153,2168.87
9,0,3,2,1,119.097,6.02167,125.119
10,0,4,0,1,1528.06,2.46866,1530.53
11,0,4,1,1,1860.88,2.04654,1862.92
12,0,4,2,1,1080.55,14.1272,1094.68
13,0,5,0,1,855.837,447.486,1303.32
14,0,5,1,1,1342.98,1.76924,1344.75
15,0,5,2,1,2205.41,2.69792,2208.11
16,0,6,0,1,428.892,2.22469,431.117
17,0,6,1,1,742.922,1.18068,744.103
18,0,6,2,1,1868.22,2.36811,1870.58
19,0,7,0,1,859.024,3.03917,862.064
20,0,7,1,1,1565.41,2.96297,1568.38
21,0,7,2,1,1063.55,3.1295,1066.68
22,0,8,0,1,1724.23,5.06567,1729.29
23,0,8,1,1,250.685,1.69806,252.383
24,0,8,2,1,948.044,1.34024,949.384
25,0,9,0,1,273.121,1590.95,1864.07
26,0,9,1,1,1866.19,4.57421,1870.76
27,0,9,2,1,1609.97,0.434882,1610.41
28,0,10,0,1,45.2977,5.14398,50.4417
29,0,10,1,1,1930.14,1.46507,1931.61
30,0,10,2,1,1625.05,1.14631,1626.19
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.11,0,1586.11
1,0,1,0,1,684.526,6.59575,691.121
2,0,1,1,1,1931.94,2.00055,1933.94
3,0,1,2,1,1794.86,1.95254,1796.81
4,0,2,0,1,1318.34,1.85724,1320.19
5,0,2,1,1,842.4,6.26077,848.661
6,0,2,2,1,864.141,2.1986,866.339
7,0,3,0,1,61.8207,576.024,637.845
8,0,3,1,1,2169.3,0.743505,2170.04
9,0,3,2,1,124.065,3.27208,127.337
10,0,4,0,1,1533.03,5.31841,1538.35
11,0,4,1,1,1866.91,25.9708,1892.88
12,0,4,2,1,1084.35,0.755141,1085.1
13,0,5,0,1,852.344,447.277,1299.62
14,0,5,1,1,1343.83,5.25406,1349.09
15,0,5,2,1,2205.27,2.92248,2208.19
16,0,6,0,1,429.558,7.04255,436.6
17,0,6,1,1,750.297,1.87052,752.167
18,0,6,2,1,1868.75,1.87627,1870.63
19,0,7,0,1,861.843,3.21581,865.058
20,0,7,1,1,1566.85,5.67868,1572.53
21,0,7,2,1,1060.69,6.28309,1066.98
22,0,8,0,1,1725.89,3.53377,1729.42
23,0,8,1,1,248.321,3.93235,252.254
24,0,8,2,1,946.94,0.89114,947.831
25,0,9,0,1,270.212,1591.35,1861.56
26,0,9,1,1,1869.86,1.77627,1871.63
